GO,Cluster,Function
GO:0002747,25,P:antigen processing and presentation following phagocytosis
GO:0002505,25,P:antigen processing and presentation of polysaccharide antigen via MHC class II
GO:0046754,23,P:viral exocytosis
GO:0042823,17,P:pyridoxal phosphate biosynthetic process
GO:1905669,43,P:TORC1 complex assembly
GO:0051790,17,P:short-chain fatty acid biosynthetic process
GO:0018293,23,P:protein-FAD linkage
GO:0140290,16,P:peptidyl-serine ADP-deribosylation
GO:0036047,23,P:peptidyl-lysine demalonylation
GO:0036049,23,P:peptidyl-lysine desuccinylation
GO:0036046,23,P:protein demalonylation
GO:0036048,23,P:protein desuccinylation
GO:0010566,17,P:regulation of ketone biosynthetic process
GO:0003271,13,P:smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation
GO:0009895,11,P:negative regulation of catabolic process
GO:0150106,8,P:regulation of protein localization to cell-cell junction
GO:0036090,23,P:cleavage furrow ingression
GO:0015774,23,P:polysaccharide transport
GO:0090520,13,P:sphingolipid mediated signaling pathway
GO:1905364,23,P:regulation of endosomal vesicle fusion
GO:0046521,11,P:sphingoid catabolic process
GO:0048239,39,P:negative regulation of DNA recombination at telomere
GO:0044873,23,P:lipoprotein localization to membrane
GO:0070303,39,P:negative regulation of stress-activated protein kinase signaling cascade
GO:1904291,19,P:positive regulation of mitotic DNA damage checkpoint
GO:0060490,18,P:lateral sprouting involved in lung morphogenesis
GO:0060488,18,P:orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis
GO:0060489,18,P:planar dichotomous subdivision of terminal units involved in lung branching morphogenesis
GO:2000142,23,P:regulation of DNA-templated transcription initiation
GO:2001019,42,P:positive regulation of retrograde axon cargo transport
GO:0060376,37,P:positive regulation of mast cell differentiation
GO:0051758,23,P:homologous chromosome movement towards spindle pole in meiosis I anaphase
GO:1904506,39,P:negative regulation of telomere maintenance in response to DNA damage
GO:1904535,42,P:positive regulation of telomeric loop disassembly
GO:0000732,23,P:strand displacement
GO:0070392,23,P:detection of lipoteichoic acid
GO:0032499,23,P:detection of peptidoglycan
GO:1905805,23,P:excitatory synapse pruning
GO:1903082,13,P:positive regulation of C-C chemokine receptor CCR7 signaling pathway
GO:1905291,42,P:positive regulation of CAMKK-AMPK signaling cascade
GO:2000350,13,P:positive regulation of CD40 signaling pathway
GO:0045960,42,"P:positive regulation of complement activation, classical pathway"
GO:1905808,42,P:positive regulation of synapse pruning
GO:0110089,14,P:regulation of hippocampal neuron apoptotic process
GO:0071640,23,P:regulation of macrophage inflammatory protein 1 alpha production
GO:0120035,49,P:regulation of plasma membrane bounded cell projection organization
GO:0034151,45,P:regulation of toll-like receptor 6 signaling pathway
GO:0006580,4,P:ethanolamine metabolic process
GO:0022013,32,P:pallium cell proliferation in forebrain
GO:0010610,23,P:regulation of mRNA stability involved in response to stress
GO:0060734,23,P:regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation
GO:0019935,23,P:cyclic-nucleotide-mediated signaling
GO:1903556,39,P:negative regulation of tumor necrosis factor superfamily cytokine production
GO:1905404,47,"P:positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process"
GO:0002845,35,P:positive regulation of tolerance induction to tumor cell
GO:0003345,31,P:proepicardium cell migration involved in pericardium morphogenesis
GO:0010611,23,P:regulation of cardiac muscle hypertrophy
GO:0070684,23,P:seminal clot liquefaction
GO:0110059,30,P:negative regulation of blood vessel endothelial cell differentiation
GO:0050912,23,P:detection of chemical stimulus involved in sensory perception of taste
GO:0009415,23,P:response to water
GO:0002336,23,P:B-1 B cell lineage commitment
GO:2000509,10,P:negative regulation of dendritic cell chemotaxis
GO:1902623,39,P:negative regulation of neutrophil migration
GO:0033860,23,P:regulation of NAD(P)H oxidase activity
GO:1903621,8,P:protein localization to photoreceptor connecting cilium
GO:0033514,11,P:L-lysine catabolic process to acetyl-CoA via L-pipecolate
GO:0097719,23,P:neural tissue regeneration
GO:1904779,8,P:regulation of protein localization to centrosome
GO:0072356,23,P:chromosome passenger complex localization to kinetochore
GO:1903205,23,P:regulation of hydrogen peroxide-induced cell death
GO:0034763,20,P:negative regulation of transmembrane transport
GO:0003226,23,P:right ventricular compact myocardium morphogenesis
GO:0045834,4,P:positive regulation of lipid metabolic process
GO:0090673,23,P:endothelial cell-matrix adhesion
GO:0006781,23,P:succinyl-CoA pathway
GO:0000709,23,P:meiotic joint molecule formation
GO:0010774,23,P:meiotic strand invasion involved in reciprocal meiotic recombination
GO:1902117,42,P:positive regulation of organelle assembly
GO:0072755,12,P:cellular response to benomyl
GO:1904876,39,P:negative regulation of DNA ligase activity
GO:1901860,36,P:positive regulation of mitochondrial DNA metabolic process
GO:1901863,5,P:positive regulation of muscle tissue development
GO:1904042,39,P:negative regulation of cystathionine beta-synthase activity
GO:0003029,23,P:detection of hypoxic conditions in blood by carotid body chemoreceptor signaling
GO:0016132,17,P:brassinosteroid biosynthetic process
GO:0035967,12,P:cellular response to topologically incorrect protein
GO:0070846,23,P:Hsp90 deacetylation
GO:0070845,23,P:polyubiquitinated misfolded protein transport
GO:1902613,13,P:negative regulation of anti-Mullerian hormone signaling pathway
GO:2000723,22,P:negative regulation of cardiac vascular smooth muscle cell differentiation
GO:0036265,23,P:RNA (guanine-N7)-methylation
GO:0033396,17,P:beta-alanine biosynthetic process via 3-ureidopropionate
GO:0046135,11,P:pyrimidine nucleoside catabolic process
GO:0061170,39,P:negative regulation of hair follicle placode formation
GO:0043400,23,P:cortisol secretion
GO:1904346,42,P:positive regulation of gastric mucosal blood circulation
GO:0061525,23,P:hindgut development
GO:0019310,11,P:inositol catabolic process
GO:2000864,23,P:regulation of estradiol secretion
GO:0070183,7,P:mitochondrial tryptophanyl-tRNA aminoacylation
GO:1902569,40,P:negative regulation of activation of Janus kinase activity
GO:1902567,39,P:negative regulation of eosinophil activation
GO:2000417,39,P:negative regulation of eosinophil migration
GO:0051134,39,P:negative regulation of NK T cell activation
GO:0060101,39,"P:negative regulation of phagocytosis, engulfment"
GO:0071501,12,P:cellular response to sterol depletion
GO:1905396,12,P:cellular response to flavonoid
GO:0015851,23,P:nucleobase transport
GO:0048635,24,P:negative regulation of muscle organ development
GO:0014886,23,P:transition between slow and fast fiber
GO:0099610,46,P:action potential initiation
GO:0060004,23,P:reflex
GO:1990770,26,P:small intestine smooth muscle contraction
GO:0042772,23,"P:DNA damage response, signal transduction resulting in transcription"
GO:0032685,39,P:negative regulation of granulocyte macrophage colony-stimulating factor production
GO:0046041,4,P:ITP metabolic process
GO:0046051,4,P:UTP metabolic process
GO:0046603,19,P:negative regulation of mitotic centrosome separation
GO:0002480,25,"P:antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"
GO:1902173,14,P:negative regulation of keratinocyte apoptotic process
GO:0098935,23,P:dendritic transport
GO:1905711,23,P:response to phosphatidylethanolamine
GO:2000257,27,P:regulation of protein activation cascade
GO:0046296,11,P:glycolate catabolic process
GO:0035853,23,P:chromosome passenger complex localization to spindle midzone
GO:0045992,39,P:negative regulation of embryonic development
GO:0030860,6,P:regulation of polarized epithelial cell differentiation
GO:0009191,11,P:ribonucleoside diphosphate catabolic process
GO:0036508,23,"P:protein alpha-1,2-demannosylation"
GO:0032876,39,P:negative regulation of DNA endoreduplication
GO:1990678,23,P:histone H4-K16 deacetylation
GO:0051153,22,P:regulation of striated muscle cell differentiation
GO:0090625,23,P:siRNA-mediated gene silencing by mRNA destabilization
GO:1901053,11,P:sarcosine catabolic process
GO:0150019,23,P:basal dendrite morphogenesis
GO:1902630,23,P:regulation of membrane hyperpolarization
GO:2001106,23,P:regulation of Rho guanyl-nucleotide exchange factor activity
GO:0045844,5,P:positive regulation of striated muscle tissue development
GO:0055017,5,P:cardiac muscle tissue growth
GO:1903508,42,P:positive regulation of nucleic acid-templated transcription
GO:0035787,31,P:cell migration involved in kidney development
GO:0061301,23,P:cerebellum vasculature morphogenesis
GO:0035272,23,P:exocrine system development
GO:0071442,38,P:positive regulation of histone H3-K14 acetylation
GO:0036473,23,P:cell death in response to oxidative stress
GO:1904140,31,P:negative regulation of microglial cell migration
GO:1990822,20,P:basic amino acid transmembrane transport
GO:1990764,23,P:myofibroblast contraction
GO:0090648,23,P:response to environmental enrichment
GO:0036306,23,P:embryonic heart tube elongation
GO:0035922,23,P:foramen ovale closure
GO:0048370,23,P:lateral mesoderm formation
GO:0060577,23,P:pulmonary vein morphogenesis
GO:0003175,23,P:tricuspid valve development
GO:0002470,25,P:plasmacytoid dendritic cell antigen processing and presentation
GO:1901340,39,P:negative regulation of store-operated calcium channel activity
GO:0031282,23,P:regulation of guanylate cyclase activity
GO:0090361,23,P:regulation of platelet-derived growth factor production
GO:0000916,23,P:actomyosin contractile ring contraction
GO:1904896,23,P:ESCRT complex disassembly
GO:0072319,23,P:vesicle uncoating
GO:0090035,43,P:positive regulation of chaperone-mediated protein complex assembly
GO:2000508,10,P:regulation of dendritic cell chemotaxis
GO:0002864,23,P:regulation of acute inflammatory response to antigenic stimulus
GO:1902162,23,"P:regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"
GO:0006797,4,P:polyphosphate metabolic process
GO:0140298,23,P:endocytic iron import into cell
GO:1903319,27,P:positive regulation of protein maturation
GO:0048219,23,P:inter-Golgi cisterna vesicle-mediated transport
GO:0043048,17,P:dolichyl monophosphate biosynthetic process
GO:0099608,46,P:regulation of action potential firing pattern
GO:0106056,23,P:regulation of calcineurin-mediated signaling
GO:0140924,20,P:L-kynurenine transmembrane transport
GO:1901494,4,P:regulation of cysteine metabolic process
GO:2000211,4,P:regulation of glutamate metabolic process
GO:1903786,17,P:regulation of glutathione biosynthetic process
GO:0033029,14,P:regulation of neutrophil apoptotic process
GO:1904950,8,P:negative regulation of establishment of protein localization
GO:1905899,5,P:regulation of smooth muscle tissue development
GO:1903900,23,P:regulation of viral life cycle
GO:1990134,14,P:epithelial cell apoptotic process involved in palatal shelf morphogenesis
GO:2001142,23,P:nicotinate transport
GO:0046036,4,P:CTP metabolic process
GO:0120094,39,P:negative regulation of peptidyl-lysine crotonylation
GO:0061987,21,P:negative regulation of transcription from RNA polymerase II promoter by glucose
GO:1904108,8,P:protein localization to ciliary inversin compartment
GO:0015887,20,P:pantothenate transmembrane transport
GO:0140633,43,P:CARD8 inflammasome complex assembly
GO:0061430,23,P:bone trabecula morphogenesis
GO:0071348,12,P:cellular response to interleukin-11
GO:1903100,4,"P:1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process"
GO:1901624,39,P:negative regulation of lymphocyte chemotaxis
GO:2000176,30,P:positive regulation of pro-T cell differentiation
GO:0150116,15,P:regulation of cell-substrate junction organization
GO:0035644,23,P:phosphoanandamide dephosphorylation
GO:0061181,23,P:regulation of chondrocyte development
GO:0032423,23,P:regulation of mismatch repair
GO:0006386,21,P:termination of RNA polymerase III transcription
GO:0045575,23,P:basophil activation
GO:0070184,7,P:mitochondrial tyrosyl-tRNA aminoacylation
GO:0046121,11,P:deoxyribonucleoside catabolic process
GO:0046386,11,P:deoxyribose phosphate catabolic process
GO:1903778,8,P:protein localization to vacuolar membrane
GO:2000192,39,P:negative regulation of fatty acid transport
GO:0000971,23,"P:tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate"
GO:0045620,39,P:negative regulation of lymphocyte differentiation
GO:1902073,13,P:positive regulation of hypoxia-inducible factor-1alpha signaling pathway
GO:0021872,23,P:forebrain generation of neurons
GO:0035212,23,P:cell competition in a multicellular organism
GO:0046293,17,P:formaldehyde biosynthetic process
GO:0035616,23,P:histone H2B conserved C-terminal lysine deubiquitination
GO:1903904,39,P:negative regulation of establishment of T cell polarity
GO:1905872,8,P:negative regulation of protein localization to cell leading edge
GO:0031173,23,P:otolith mineralization completed early in development
GO:0050894,23,P:determination of affect
GO:0070235,40,P:regulation of activation-induced cell death of T cells
GO:2000452,47,"P:regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation"
GO:0010496,23,P:intercellular transport
GO:0000706,23,P:meiotic DNA double-strand break processing
GO:0009181,11,P:purine ribonucleoside diphosphate catabolic process
GO:0120012,23,P:intermembrane sphingolipid transfer
GO:0000032,17,P:cell wall mannoprotein biosynthetic process
GO:0021572,23,P:rhombomere 6 development
GO:2000287,42,P:positive regulation of myotome development
GO:1900107,13,P:regulation of nodal signaling pathway
